NAME,REVENUES,YEAR
PENSKE AUTOMOTIVE GROUP,20143,2017
PULTEGROUP,7669,2017
AUTOLIV,10074,2017
BORGWARNER,9071,2017
DEVON ENERGY,12197,2017
CHESAPEAKE ENERGY,7872,2017
ENTERGY,10846,2017
FIRST AMERICAN FINANCIAL,5576,2017
DARDEN RESTAURANTS,6934,2017
WESTERN DIGITAL,12994,2017
CENTURYLINK,17470,2017
NEXTERA ENERGY,16155,2017
OFFICE DEPOT,13585,2017
"TOYS ""R"" US,11540,2017"
CATERPILLAR,38537,2017
A-MARK PRECIOUS METALS,6784,2017
ARAMARK,14416,2017
CROWN HOLDINGS,8284,2017
RAYMOND JAMES FINANCIAL,5520,2017
JABIL CIRCUIT,18353,2017
TECH DATA,26235,2017
PUBLIX SUPER MARKETS,34274,2017
CASEY'S GENERAL STORES,6304,2017
PRINCIPAL FINANCIAL,12394,2017
CVS HEALTH,177526,2017
CITIZENS FINANCIAL GROUP,5763,2017
TEXTRON,13788,2017
UNITED NATURAL FOODS,8470,2017
DILLARD'S,6418,2017
WINDSTREAM HOLDINGS,5387,2017
JETBLUE AIRWAYS,6632,2017
FISERV,5505,2017
ECOLAB,13153,2017
ST. JUDE MEDICAL,6004,2017
LAND O'LAKES,13233,2017
METLIFE,63476,2017
VOYA FINANCIAL,10782,2017
DOMINION RESOURCES,11737,2017
ADVANCE AUTO PARTS,9568,2017
DEERE,26644,2017
REINSURANCE GROUP OF AMERICA,11522,2017
CENTENE,40721,2017
GRAYBAR ELECTRIC,6385,2017
OLIN,5551,2017
EXPRESS SCRIPTS HOLDING,100288,2017
JONES FINANCIAL,6632,2017
EMERSON ELECTRIC,20268,2017
MONSANTO,13502,2017
AMEREN,6076,2017
HUNTSMAN,9657,2017
SEMPRA ENERGY,10183,2017
QUALCOMM,23554,2017
MCKESSON,192487,2017
CHARLES SCHWAB,7644,2017
GAP,15516,2017
PG&E CORP.,17666,2017
SALESFORCE.COM,8392,2017
WELLS FARGO,94176,2017
FACEBOOK,27638,2017
ROBERT HALF INTERNATIONAL,5250,2017
ORACLE,37047,2017
CORE-MARK HOLDING,11507,2017
FRANKLIN RESOURCES,6618,2017
GILEAD SCIENCES,30390,2017
VISA,15082,2017
PAYPAL HOLDINGS,10842,2017
ALPHABET,90272,2017
SYMANTEC,5568,2017
NETAPP,5546,2017
YAHOO,5169,2017
HEWLETT PACKARD ENTERPRISE,50123,2017
HP,48238,2017
TESLA,7000,2017
APPLE,215639,2017
NETFLIX,8831,2017
SANMINA,6481,2017
NVIDIA,6910,2017
APPLIED MATERIALS,10825,2017
INTEL,59387,2017
EBAY,8979,2017
CISCO SYSTEMS,49247,2017
SPIRIT AEROSYSTEMS HOLDINGS,6793,2017
AUTOZONE,10636,2017
FEDEX,50365,2017
INTERNATIONAL PAPER,21079,2017
CORNING,9390,2017
STATE STREET CORP.,10635,2017
AMERICAN TOWER,5786,2017
LIBERTY MUTUAL INSURANCE GROUP,38308,2017
EASTMAN CHEMICAL,9008,2017
FIRSTENERGY,14156,2017
GOODYEAR TIRE & RUBBER,15158,2017
GAMESTOP,8608,2017
D.R. HORTON,12157,2017
AMERICAN AIRLINES GROUP,40180,2017
ARCONIC,12394,2017
WHOLE FOODS MARKET,15724,2017
ONEOK,8921,2017
NGL ENERGY PARTNERS,11742,2017
WILLIAMS,7499,2017
BED BATH & BEYOND,12104,2017
CELGENE,11229,2017
MURPHY USA,9633,2017
BERRY GLOBAL GROUP,6489,2017
AMGEN,22991,2017
TYSON FOODS,36881,2017
NIKE,32376,2017
J.M. SMUCKER,7811,2017
FORD MOTOR,151800,2017
MASCO,7357,2017
DTE ENERGY,10630,2017
ALLY FINANCIAL,9835,2017
GENERAL MOTORS,166380,2017
IBM,79919,2017
MASTERCARD,10776,2017
PEPSICO,62799,2017
DELEK US HOLDINGS,5414,2017
LIFEPOINT HEALTH,7274,2017
TRACTOR SUPPLY,6780,2017
COMMUNITY HEALTH SYSTEMS,21374,2017
DELL TECHNOLOGIES,64806,2017
OSHKOSH,6279,2017
OWENS-ILLINOIS,6702,2017
SPARTANNASH,7735,2017
KOHL'S,18686,2017
JOHNSON & JOHNSON,71890,2017
PETER KIEWIT SONS',8573,2017
MUTUAL OF OMAHA INSURANCE,7899,2017
ABBVIE,25638,2017
COMCAST,80403,2017
PROCTER & GAMBLE,71726,2017
AMERIPRISE FINANCIAL,11735,2017
3M,30109,2017
