,date,datatype,value,county_fips
285,2016-01-20T00:00:00,PRCP,1.1444444444444446,05007
286,2016-01-20T00:00:00,TMAX,0.3,05007
287,2016-01-20T00:00:00,TMIN,-4.1,05007
288,2016-01-21T00:00:00,PRCP,2.5,05007
289,2016-01-21T00:00:00,TMAX,0.8500000000000001,05007
290,2016-01-21T00:00:00,TMIN,-1.9000000000000001,05007
291,2016-01-22T00:00:00,PRCP,0.13,05007
292,2016-01-22T00:00:00,TMAX,2.75,05007
293,2016-01-22T00:00:00,TMIN,-5.55,05007
294,2016-01-23T00:00:00,PRCP,0.0,05007
295,2016-01-23T00:00:00,TMAX,4.7,05007
296,2016-01-23T00:00:00,TMIN,-3.8499999999999996,05007
297,2016-01-24T00:00:00,PRCP,0.0,05007
298,2016-01-24T00:00:00,TMAX,11.7,05007
299,2016-01-24T00:00:00,TMIN,-1.35,05007
300,2016-01-25T00:00:00,PRCP,0.0,05007
301,2016-01-25T00:00:00,TMAX,15.55,05007
302,2016-01-25T00:00:00,TMIN,3.6,05007
303,2016-01-26T00:00:00,PRCP,0.0,05007
304,2016-01-26T00:00:00,TMAX,7.2,05007
305,2016-01-26T00:00:00,TMIN,-2.7,05007
306,2016-01-27T00:00:00,PRCP,0.0,05007
307,2016-01-27T00:00:00,TMAX,11.399999999999999,05007
308,2016-01-27T00:00:00,TMIN,-6.6,05007
309,2016-01-28T00:00:00,PRCP,0.0,05007
310,2016-01-28T00:00:00,TMAX,16.95,05007
311,2016-01-28T00:00:00,TMIN,1.1,05007
312,2016-01-29T00:00:00,PRCP,0.0,05007
313,2016-01-29T00:00:00,TMAX,21.4,05007
314,2016-01-29T00:00:00,TMIN,-1.1,05007
315,2016-01-30T00:00:00,PRCP,0.0,05007
316,2016-01-30T00:00:00,TMAX,21.4,05007
317,2016-01-30T00:00:00,TMIN,8.600000000000001,05007
318,2016-01-31T00:00:00,PRCP,0.0,05007
319,2016-01-31T00:00:00,TMAX,19.7,05007
320,2016-01-31T00:00:00,TMIN,7.25,05007
321,2016-02-01T00:00:00,PRCP,0.0,05007
322,2016-02-01T00:00:00,TMAX,16.95,05007
323,2016-02-01T00:00:00,TMIN,1.4000000000000001,05007
324,2016-02-02T00:00:00,PRCP,4.9,05007
325,2016-02-02T00:00:00,TMAX,16.1,05007
326,2016-02-02T00:00:00,TMIN,5.55,05007
327,2016-02-03T00:00:00,PRCP,0.0,05007
328,2016-02-03T00:00:00,TMAX,7.5,05007
329,2016-02-03T00:00:00,TMIN,-1.9,05007
330,2016-02-04T00:00:00,PRCP,0.0,05007
331,2016-02-04T00:00:00,TMAX,7.75,05007
332,2016-02-04T00:00:00,TMIN,-9.649999999999999,05007
333,2016-02-05T00:00:00,PRCP,0.0,05007
334,2016-02-05T00:00:00,TMAX,12.25,05007
335,2016-02-05T00:00:00,TMIN,-3.0,05007
336,2016-02-06T00:00:00,PRCP,0.0,05007
337,2016-02-06T00:00:00,TMAX,13.05,05007
338,2016-02-06T00:00:00,TMIN,-0.75,05007
339,2016-02-07T00:00:00,PRCP,0.0,05007
340,2016-02-07T00:00:00,TMAX,11.7,05007
341,2016-02-07T00:00:00,TMIN,1.9500000000000002,05007
342,2016-02-08T00:00:00,PRCP,0.0,05007
343,2016-02-08T00:00:00,TMAX,7.5,05007
344,2016-02-08T00:00:00,TMIN,0.04999999999999999,05007
345,2016-02-09T00:00:00,PRCP,0.0,05007
346,2016-02-09T00:00:00,TMAX,4.4,05007
347,2016-02-09T00:00:00,TMIN,-3.6,05007
348,2016-02-10T00:00:00,PRCP,0.0,05007
349,2016-02-10T00:00:00,TMAX,12.2,05007
350,2016-02-10T00:00:00,TMIN,-8.0,05007
351,2016-02-11T00:00:00,PRCP,0.0,05007
352,2016-02-11T00:00:00,TMAX,13.850000000000001,05007
353,2016-02-11T00:00:00,TMIN,-1.65,05007
354,2016-02-12T00:00:00,PRCP,0.0,05007
355,2016-02-12T00:00:00,TMAX,10.6,05007
356,2016-02-12T00:00:00,TMIN,-1.6,05007
357,2016-02-13T00:00:00,PRCP,0.0,05007
358,2016-02-13T00:00:00,TMAX,9.15,05007
359,2016-02-13T00:00:00,TMIN,-3.0,05007
360,2016-02-14T00:00:00,PRCP,0.22727272727272727,05007
361,2016-02-14T00:00:00,TMAX,7.5,05007
362,2016-02-14T00:00:00,TMIN,1.6500000000000001,05007
363,2016-02-15T00:00:00,PRCP,0.4454545454545455,05007
364,2016-02-15T00:00:00,TMAX,15.55,05007
365,2016-02-15T00:00:00,TMIN,1.4,05007
366,2016-02-16T00:00:00,PRCP,0.0,05007
367,2016-02-16T00:00:00,TMAX,12.5,05007
368,2016-02-16T00:00:00,TMIN,2.2,05007
369,2016-02-17T00:00:00,PRCP,0.0,05007
370,2016-02-17T00:00:00,TMAX,18.3,05007
371,2016-02-17T00:00:00,TMIN,-2.75,05007
372,2016-02-18T00:00:00,PRCP,0.0,05007
373,2016-02-18T00:00:00,TMAX,23.6,05007
374,2016-02-18T00:00:00,TMIN,5.55,05007
375,2016-02-19T00:00:00,PRCP,0.0,05007
376,2016-02-19T00:00:00,TMAX,21.4,05007
377,2016-02-19T00:00:00,TMIN,13.899999999999999,05007
378,2016-02-20T00:00:00,PRCP,0.0,05007
379,2016-02-20T00:00:00,TMAX,23.9,05007
380,2016-02-20T00:00:00,TMIN,10.8,05007
381,2016-02-21T00:00:00,PRCP,0.0,05007
382,2016-02-21T00:00:00,TMAX,20.25,05007
383,2016-02-21T00:00:00,TMIN,10.8,05007
384,2016-02-22T00:00:00,PRCP,0.0,05007
385,2016-02-22T00:00:00,TMAX,15.85,05007
386,2016-02-22T00:00:00,TMIN,2.2,05007
387,2016-02-23T00:00:00,PRCP,0.509090909090909,05007
388,2016-02-23T00:00:00,TMAX,9.75,05007
389,2016-02-23T00:00:00,TMIN,3.0999999999999996,05007
390,2016-02-24T00:00:00,PRCP,8.864285714285714,05007
391,2016-02-24T00:00:00,TMAX,8.600000000000001,05007
392,2016-02-24T00:00:00,TMIN,0.30000000000000004,05007
393,2016-02-25T00:00:00,PRCP,0.0,05007
394,2016-02-25T00:00:00,TMAX,6.4,05007
395,2016-02-25T00:00:00,TMIN,-1.1,05007
396,2016-02-26T00:00:00,PRCP,0.0,05007
397,2016-02-26T00:00:00,TMAX,11.399999999999999,05007
398,2016-02-26T00:00:00,TMIN,-6.35,05007
399,2016-02-27T00:00:00,PRCP,0.0,05007
400,2016-02-27T00:00:00,TMAX,20.85,05007
401,2016-02-27T00:00:00,TMIN,3.5999999999999996,05007
402,2016-02-28T00:00:00,PRCP,0.0,05007
403,2016-02-28T00:00:00,TMAX,21.4,05007
404,2016-02-28T00:00:00,TMIN,9.75,05007
405,2016-02-29T00:00:00,PRCP,0.0,05007
406,2016-02-29T00:00:00,TMAX,21.4,05007
407,2016-02-29T00:00:00,TMIN,1.15,05007
408,2016-03-01T00:00:00,PRCP,17.61875,05007
409,2016-03-01T00:00:00,TMAX,17.5,05007
410,2016-03-01T00:00:00,TMIN,3.3499999999999996,05007
411,2016-03-02T00:00:00,PRCP,0.7416666666666667,05007
412,2016-03-02T00:00:00,TMAX,17.25,05007
413,2016-03-02T00:00:00,TMIN,-1.35,05007
414,2016-03-03T00:00:00,PRCP,1.7000000000000002,05007
415,2016-03-03T00:00:00,TMAX,15.6,05007
416,2016-03-03T00:00:00,TMIN,5.6,05007
417,2016-03-04T00:00:00,PRCP,0.5083333333333333,05007
418,2016-03-04T00:00:00,TMAX,19.7,05007
419,2016-03-04T00:00:00,TMIN,0.3,05007
420,2016-03-05T00:00:00,PRCP,0.0,05007
421,2016-03-05T00:00:00,TMAX,22.2,05007
422,2016-03-05T00:00:00,TMIN,2.5,05007
423,2016-03-06T00:00:00,PRCP,0.0,05007
424,2016-03-06T00:00:00,TMAX,22.2,05007
425,2016-03-06T00:00:00,TMIN,6.95,05007
426,2016-03-07T00:00:00,PRCP,3.0083333333333333,05007
427,2016-03-07T00:00:00,TMAX,19.45,05007
428,2016-03-07T00:00:00,TMIN,15.6,05007
429,2016-03-08T00:00:00,PRCP,15.217647058823529,05007
430,2016-03-08T00:00:00,TMAX,18.05,05007
431,2016-03-08T00:00:00,TMIN,10.55,05007
432,2016-03-09T00:00:00,PRCP,17.1125,05007
433,2016-03-09T00:00:00,TMAX,18.6,05007
434,2016-03-09T00:00:00,TMIN,8.600000000000001,05007
435,2016-03-10T00:00:00,PRCP,3.4266666666666667,05007
436,2016-03-10T00:00:00,TMAX,15.3,05007
437,2016-03-10T00:00:00,TMIN,9.15,05007
438,2016-03-11T00:00:00,PRCP,3.7583333333333333,05007
439,2016-03-11T00:00:00,TMAX,13.350000000000001,05007
440,2016-03-11T00:00:00,TMIN,7.8,05007
441,2016-03-12T00:00:00,PRCP,5.3,05007
442,2016-01-01T00:00:00,PRCP,0.0,05119
443,2016-01-01T00:00:00,TMAX,7.880000000000001,05119
444,2016-01-01T00:00:00,TMIN,-1.1,05119
445,2016-01-02T00:00:00,PRCP,0.0,05119
446,2016-01-02T00:00:00,TMAX,9.559999999999999,05119
447,2016-01-02T00:00:00,TMIN,-2.98,05119
448,2016-01-03T00:00:00,PRCP,0.0,05119
449,2016-01-03T00:00:00,TMAX,11.68,05119
450,2016-01-03T00:00:00,TMIN,-2.1,05119
451,2016-01-04T00:00:00,PRCP,0.0,05119
452,2016-01-04T00:00:00,TMAX,8.98,05119
453,2016-01-04T00:00:00,TMIN,-2.74,05119
454,2016-01-05T00:00:00,PRCP,0.0,05119
455,2016-01-05T00:00:00,TMAX,5.220000000000001,05119
